sepal_length,sepal_width,petal_length,petal_width,species_pred,setosa,versicolor,virginica
5.5,2.5,4.0,1.3,versicolor,0.0193,0.8825,0.0981
6.9,3.1,5.1,2.3,virginica,0.0002,0.0676,0.9322
5.1,2.5,3.0,1.1,versicolor,0.0973,0.8919,0.0108
4.4,2.9,,0.2,setosa,0.7457,0.2541,0.0002
5.9,3.0,5.1,1.8,virginica,0.0059,0.3318,0.6623
5.5,3.5,1.3,0.2,setosa,0.9633,0.0367,0.0
5.6,,3.6,1.3,versicolor,0.1607,0.8117,0.0276
6.5,3.0,5.2,2.0,virginica,0.0008,0.1557,0.8436
5.3,3.7,1.5,0.2,setosa,0.9852,0.0148,0.0
5.1,3.4,1.5,,setosa,0.887,0.1129,0.0001
6.1,2.8,4.0,1.3,versicolor,0.023,0.8975,0.0795
5.5,2.4,3.7,1.0,versicolor,0.0263,0.9481,0.0257
7.7,3.0,6.1,2.3,virginica,0.0,0.0135,0.9865
6.9,3.1,4.9,1.5,versicolor,0.0058,0.6454,0.3488
6.0,2.2,5.0,1.5,virginica,0.0005,0.4044,0.5952
